"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4"
"155","1700010K23Rik",0,0,0,2.62,1.34,0,0,0
"156","1700010K24Rik",0,0,4.01,1.31,0.67,0.7,0,2.7
"157","1700010L04Rik",0,0,0,0,0,0,0,0
"158","1700010N08Rik",0,0,0,0,0,0,0,0
"159","1700011B04Rik",0,0,0,0,0,0,0,0
"160","1700011C11Rik",0,0,0,0,0,0,0,0
"161","1700011D18Rik",0,1.07,0,1.31,0.67,2.11,5.37,0
"162","1700011L03Rik",0,0,0,0,1.34,0,0,0
"163","1700011L22Rik",0,0,0,0,0,0.7,0,0
"164","1700011M02Rik",0,0,0,0,0,0,0,0
"165","1700012A03Rik",0,0,0,0,0,0,0,0
"166","1700012B07Rik",0,0,1.34,0,0,0,0,0
"167","1700012B09Rik",0,2.14,4.01,13.12,8.73,54.11,20.58,19.6
"168","1700012C08Rik",0,0,0,0,0,0,0,0
"169","1700012C14Rik",0,6.43,2.67,1.31,2.69,2.81,0.89,1.35
"170","1700012D14Rik",21.38,19.28,22.74,15.74,12.76,17.57,6.26,14.87
"171","1700012D16Rik",0,0,0,0,0,0,0,0
"172","1700012E03Rik",0,0,0,0,0,0,0,0
"173","1700012I11Rik",0,1.07,0,0,0,0,0,0
"174","1700012J15Rik",0,0,0,0,0,0,0,0
"175","1700012J22Rik",0,0,0,0,0,0,0,0
"176","1700012P22Rik",0,0,0,0,0,0,0,0
"177","1700013A02Rik",0,0,0,0,0,0,0,0
"178","1700013D24Rik",0,0,0,0,0,0,0,0
"179","1700013F07Rik",16.04,21.43,6.69,28.86,13.43,35.84,24.16,13.52
"180","1700013G24Rik",0,0,0,0,0,0,0,0
"181","1700013H16Rik",3.56,3.21,2.67,0,1.34,0.7,0.89,1.35
"182","1700013M08Rik",0,0,2.67,0,0,0,0,0
"183","1700013N06Rik",0,0,0,0,0,0,0,0
"184","1700014D04Rik",8.91,3.21,10.7,11.81,15.44,21.08,18.79,16.9
"185","1700014F14Rik",0,0,0,0,0,0,0,0
"186","1700014L14Rik",0,0,0,0,0,0,0,0
"187","1700015C15Rik",7.13,0,0,0,0,0,1.79,0
"188","1700015C17Rik",0,0,0,0,0,0.7,0,0
"189","1700015F17Rik",3.56,3.21,2.67,0,0.67,2.81,0.89,2.7
"190","1700015G11Rik",0,0,1.34,0,0,0,0,0
"191","1700015H07Rik",0,0,0,0,0,0,0,0
"192","1700015I17Rik",1.78,0,0,1.31,0,0,0,0
"193","1700015O11Rik",0,0,0,0,0,0,0,0
"194","1700016A09Rik",7.13,17.14,5.35,2.62,6.04,5.62,6.26,2.03
"195","1700016B01Rik",0,0,0,0,0,0,0,0
"196","1700016B15Rik",0,0,0,0,0,0,0,0
"197","1700016C15Rik",0,0,0,0,2.01,1.41,1.79,2.03
"198","1700016D06Rik",3.56,0,2.67,0,0.67,1.41,0,2.03
"199","1700016D08Rik",0,0,0,0,0,0,0,0
"200","1700016F12Rik",0,0,0,0,0,0,0,0
"201","1700016G22Rik",0,0,0,0,0,0,0,0
"202","1700016H03Rik",0,0,0,0,0,0,0,0
"203","1700016H13Rik",1.78,4.29,2.67,0,0.67,2.11,0,1.35
"204","1700016J18Rik",5.35,2.14,0,5.25,0.67,4.22,0.89,2.7
"205","1700016K05Rik",3.56,0,0,0,0,0,0,0
"206","1700016K19Rik",46.33,63.21,74.89,73.46,62.44,63.24,18.79,34.47
"207","1700016L21Rik",0,0,0,0,0,0,0,0
"208","1700016P03Rik",256.59,181.06,222.01,230.89,47,42.16,27.73,27.04
"209","1700016P04Rik",0,0,0,0,0,0,0,0
"210","1700017B05Rik",169.28,146.78,177.87,217.77,178.59,217.13,218.3,235.88
"211","1700017G19Rik",0,0,0,0,0,0,0,0
"212","1700017I07Rik",0,0,0,0,0,0,0,0
"213","1700017J07Rik",0,0,0,0,0,1.41,0,0
