"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"34932","Gm5755",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"34933","Gm5757",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"34934","Gm5759",1.78,0,0,0,0,0,0,0,0.2,-0.08,-1.61,0.64874,NA
"34935","Gm5760",1.78,0,0,0,0.67,0,0.89,0,0.4,-0.01,-0.15,0.95631,NA
"34936","Gm5761",0,0,0,1.31,0,0.7,0,0,0.3,-0.04,-0.89,0.80151,NA
"34937","Gm5762",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"34938","Gm5763",0,0,6.69,5.25,5.37,1.41,2.68,6.76,3.5,0.11,0.44,0.69251,0.79205
"34939","Gm5764",1.78,0,0,1.31,0,0,0,0,0.4,-0.13,-2.41,0.46671,NA
"34940","Gm5766",0,0,0,0,0,0,0,0.68,0.1,-0.01,-0.17,0.9623,NA
"34941","Gm5767",0,0,1.34,0,0,0,0,0,0.2,-0.08,-1.61,0.64874,NA
"34942","Gm5768",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"34943","Gm5771",10.69,0,0,3.94,0,0,0,0,1.8,-0.69,-4.73,0.02638,0.05959
"34944","Gm5773",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"34945","Gm5776",5.35,12.86,9.36,7.87,6.04,4.92,13.42,2.03,7.7,-0.2,-0.48,0.48788,0.62117
"34946","Gm5777",0,0,1.34,3.94,0.67,1.41,0,0,0.9,-0.15,-1.33,0.51267,NA
"34947","Gm5778",0,1.07,2.67,1.31,2.69,3.51,1.79,4.73,2.2,0.31,1.29,0.26771,0.39528
"34948","Gm5779",3.56,1.07,4.01,1.31,1.34,3.51,1.79,0.68,2.2,-0.1,-0.41,0.71734,0.80999
"34949","Gm5780",1.78,0,0,0,0,0,0,0,0.2,-0.08,-1.61,0.64874,NA
"34950","Gm5781",115.82,52.5,72.22,110.2,37.6,52,51,56.1,68.4,-0.66,-0.82,0.00398,0.0115
"34951","Gm5784",48.11,28.93,30.76,34.11,24.84,15.46,24.16,30.41,29.6,-0.41,-0.56,0.09861,0.17952
"34952","Gm5786",42.77,16.07,18.72,20.99,13.43,18.27,4.47,12.17,18.4,-0.59,-0.99,0.04724,0.0978
"34953","Gm5787",3.56,3.21,1.34,1.31,7.39,2.11,1.79,0.68,2.7,0.09,0.37,0.73879,0.82618
"34954","Gm5788",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"34955","Gm5789",0,0,0,0,0,0,0.89,0.68,0.2,0.03,0.57,0.87056,NA
"34956","Gm5790",0,3.21,5.35,13.12,4.7,5.62,11.63,5.41,6.1,0.1,0.29,0.71784,0.81026
"34957","Gm5791",5.35,10.71,5.35,7.87,2.01,1.41,0,6.08,4.8,-0.58,-1.6,0.07104,0.13738
"34958","Gm5793",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"34959","Gm5795",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"34960","Gm5796",0,0,1.34,2.62,2.69,2.11,0,9.46,2.3,0.33,1.84,0.2212,0.3418
"34961","Gm5797",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"34962","Gm5798",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"34963","Gm5799",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"34964","Gm5800",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"34965","Gm5801",0,3.21,8.02,2.62,2.01,0.7,4.47,3.38,3.1,-0.12,-0.44,0.67093,0.77442
"34966","Gm5802",12.47,15,10.7,17.05,12.76,14.05,8.95,15.55,13.3,-0.06,-0.11,0.81616,0.88154
"34967","Gm5805",178.19,80.35,106.99,125.94,36.25,62.54,67.1,46.64,88,-1.02,-1.2,2e-05,0.00011
"34968","Gm5808",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"34969","Gm5809",0,0,0,1.31,0,1.41,0,0,0.3,-0.01,-0.15,0.96479,NA
"34970","Gm5814",8.91,8.57,18.72,7.87,8.06,8.43,7.16,9.46,9.6,-0.21,-0.41,0.44919,0.5847
"34971","Gm5815",3.56,1.07,5.35,9.18,9.4,5.62,5.37,6.08,5.7,0.19,0.48,0.51785,0.64883
"34972","Gm5819",5.35,1.07,1.34,1.31,0,1.41,0,0,1.3,-0.4,-2.57,0.14033,0.23856
"34973","Gm5820",30.29,23.57,29.42,27.55,16.78,10.54,10.74,6.76,19.5,-0.95,-1.3,0.00141,0.00457
"34974","Gm5821",1.78,0,0,0,0,0,0,0,0.2,-0.08,-1.61,0.64874,NA
"34975","Gm5822",10.69,7.5,13.37,9.18,8.73,7.73,5.37,6.08,8.6,-0.27,-0.53,0.34111,0.47637
"34976","Gm5823",10.69,2.14,2.67,6.56,6.04,3.51,2.68,4.73,4.9,-0.11,-0.31,0.69734,0.79554
"34977","Gm5824",0,0,0,0,0,0,0.89,0,0.1,-0.01,-0.17,0.9623,NA
"34978","Gm5826",14.26,1.07,1.34,11.81,1.34,3.51,0,0,4.2,-0.69,-2.5,0.04344,0.0911
"34979","Gm5827",3.56,0,2.67,0,0,1.41,0.89,0,1.1,-0.17,-1.41,0.47322,0.60728
"34980","Gm5828",0,1.07,0,1.31,0,0.7,0,0.68,0.5,-0.07,-0.85,0.72802,NA
"34981","Gm5829",17.82,4.29,1.34,11.81,6.71,2.11,4.47,2.7,6.4,-0.41,-1.1,0.17464,0.28413
"34982","Gm5830",19.6,3.21,4.01,9.18,6.71,7.73,2.68,4.73,7.2,-0.26,-0.65,0.3687,0.50533
"34983","Gm5831",0,5.36,1.34,1.31,1.34,0,0,0,1.2,-0.33,-2.53,0.19088,0.30475
"34984","Gm5832",1.78,0,0,0,0,0,0,0,0.2,-0.08,-1.61,0.64874,NA
"34985","Gm5833",0,0,1.34,0,0,0,0,0,0.2,-0.08,-1.61,0.64874,NA
"34986","Gm5834",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"34987","Gm5835",46.33,19.28,28.08,39.36,18.8,30.92,22.37,23.66,28.6,-0.31,-0.45,0.21361,0.33294
"34988","Gm5836",0,0,0,0,0,0,0,0.68,0.1,-0.01,-0.17,0.9623,NA
"34989","Gm5837",3.56,4.29,2.67,5.25,6.04,9.14,6.26,10.14,5.9,0.43,1,0.15254,0.25514
"34990","Gm5839",0,0,0,0,2.01,1.41,0,1.35,0.6,0.2,2.27,0.3428,NA
"34991","Gm5841",3.56,0,0,3.94,0.67,0,0,0.68,1.1,-0.29,-2.34,0.23704,0.36055
"34992","Gm5842",3.56,0,0,0,0,0.7,0.89,0.68,0.7,-0.04,-0.39,0.86125,NA
"34993","Gm5843",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"34994","Gm5844",17.82,6.43,10.7,7.87,5.37,18.27,14.31,20.28,12.6,0.24,0.48,0.39702,0.53346
"34995","Gm5845",5.35,1.07,1.34,0,0.67,2.11,0.89,4.06,1.9,0.02,0.11,0.93463,0.96154
"34996","Gm5846",1.78,3.21,0,1.31,6.04,2.81,6.26,1.35,2.8,0.35,1.34,0.22987,0.35176
"34997","Gm5847",0,1.07,0,0,1.34,2.81,2.68,8.79,2.1,0.75,3.26,0.03039,0.06722
"34998","Gm5849",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"34999","Gm5850",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35000","Gm5851",0,1.07,0,2.62,0,0,3.58,2.03,1.2,0.06,0.53,0.78343,0.8594
"35001","Gm5852",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35002","Gm5853",0,0,0,0,0.67,1.41,0,0.68,0.3,0.1,1.48,0.61066,NA
"35003","Gm5854",0,2.14,1.34,2.62,0,1.41,0,0.68,1,-0.22,-1.57,0.36995,0.50647
"35004","Gm5855",17.82,4.29,14.71,17.05,10.07,7.73,9.84,5.41,10.9,-0.35,-0.68,0.22565,0.34703
"35005","Gm5857",33.86,16.07,26.75,39.36,30.88,18.27,30.42,22.3,27.2,-0.12,-0.17,0.64058,0.75095
"35006","Gm5859",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35007","Gm5860",5.35,2.14,4.01,6.56,0,0,10.74,2.03,3.9,-0.11,-0.53,0.66673,0.7713
"35008","Gm5861",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35009","Gm5862",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35010","Gm5863",1.78,1.07,1.34,1.31,3.36,3.51,5.37,4.06,2.7,0.46,1.59,0.13255,0.22759
"35011","Gm5864",1.78,4.29,0,2.62,1.34,3.51,0.89,0,1.8,-0.11,-0.62,0.65235,0.76054
"35012","Gm5865",10.69,15,12.04,11.81,16.11,16.86,8.05,12.17,12.8,0.06,0.1,0.83184,0.89238
"35013","Gm5866",0,1.07,0,1.31,0,0,0.89,0,0.4,-0.11,-1.56,0.5803,NA
"35014","Gm5867",3.56,5.36,2.67,2.62,3.36,2.81,1.79,6.08,3.5,-0.01,-0.02,0.98278,0.98951
"35015","Gm5869",12.47,2.14,9.36,6.56,3.36,7.03,5.37,5.41,6.5,-0.2,-0.48,0.48665,0.62005
"35016","Gm5870",1.78,0,4.01,5.25,2.01,0,0,2.03,1.9,-0.25,-1.4,0.34299,0.47847
"35017","Gm5871",1.78,1.07,1.34,0,0.67,0.7,0,0,0.7,-0.17,-1.5,0.4593,NA
"35018","Gm5873",0,2.14,0,0,2.01,2.81,0,2.7,1.2,0.21,1.58,0.38628,0.52261
"35019","Gm5874",7.13,2.14,1.34,2.62,0.67,0.7,0.89,1.35,2.1,-0.46,-1.81,0.12588,0.2184
"35020","Gm5876",1.78,0,0,0,0,0,0,0,0.2,-0.08,-1.61,0.64874,NA
"35021","Gm5878",0,0,1.34,1.31,0,2.81,0.89,0,0.8,0.04,0.41,0.84944,NA
"35022","Gm5879",40.98,21.43,28.08,38.04,9.4,24.59,22.37,20.28,25.6,-0.5,-0.74,0.06358,0.12547
"35023","Gm5881",5.35,11.78,6.69,7.87,5.37,2.81,3.58,6.76,6.3,-0.35,-0.79,0.23297,0.35553
"35024","Gm5883",5.35,3.21,4.01,2.62,0.67,0.7,2.68,0.68,2.5,-0.5,-1.73,0.10872,0.19442
"35025","Gm5884",19.6,17.14,28.08,13.12,20.81,24.59,38.47,36.5,24.8,0.42,0.63,0.10802,0.19344
"35026","Gm5885",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35027","Gm5886",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35028","Gm5890",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35029","Gm5891",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35030","Gm5893",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35031","Gm5896",0,1.07,1.34,0,1.34,0,3.58,0.68,1,0.13,1.05,0.56724,0.69035
"35032","Gm5898",12.47,5.36,10.7,2.62,8.73,10.54,7.16,8.11,8.2,0.09,0.19,0.75126,0.83589
"35033","Gm5899",1.78,1.07,2.67,0,0,0,0,0,0.7,-0.33,-3.35,0.15626,NA
"35034","Gm5900",5.35,5.36,5.35,2.62,2.01,4.22,5.37,2.03,4,-0.17,-0.48,0.55923,0.68402
