"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"35070","Gm5945",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35071","Gm5946",1.78,0,0,1.31,0.67,0.7,0.89,0,0.7,-0.04,-0.33,0.87319,NA
"35072","Gm5947",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35073","Gm5948",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35074","Gm5949",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35075","Gm5950",0,2.14,0,0,0,0,0,0,0.3,-0.1,-2.21,0.53165,NA
"35076","Gm5951",0,1.07,0,1.31,0,1.41,0,0,0.5,-0.06,-0.83,0.76277,NA
"35077","Gm5953",8.91,4.29,0,1.31,0,3.51,3.58,0,2.7,-0.18,-1.03,0.47304,0.60722
"35078","Gm5954",0,2.14,0,0,0,1.41,1.79,0.68,0.8,0.06,0.6,0.7783,NA
"35079","Gm5955",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35080","Gm5958",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35081","Gm5960",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35082","Gm5962",1.78,0,0,1.31,4.7,0,0,1.35,1.1,0.13,1.13,0.57233,0.6949
"35083","Gm5963",30.29,15,12.04,24.93,8.06,7.73,9.84,9.46,14.7,-0.79,-1.21,0.00954,0.02469
"35084","Gm5964",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35085","Gm5965",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35086","Gm5966",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35087","Gm5967",0,0,1.34,0,0.67,0,0,0.68,0.3,-0.01,-0.19,0.94835,NA
"35088","Gm5969",0,0,0,1.31,0,1.41,0,0,0.3,-0.01,-0.15,0.96479,NA
"35089","Gm597",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35090","Gm5970",0,0,4.01,0,0.67,0,0.89,0,0.7,-0.12,-1.45,0.56104,NA
"35091","Gm5971",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35092","Gm5973",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35093","Gm5974",0,0,1.34,0,0.67,0,0,0,0.3,-0.04,-0.89,0.80151,NA
"35094","Gm5975",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35095","Gm5976",0,0,1.34,0,0,0.7,0.89,0,0.4,-0.01,-0.12,0.96646,NA
"35096","Gm5977",8.91,7.5,14.71,13.12,10.74,4.92,4.47,7.43,9,-0.34,-0.67,0.24553,0.36997
"35097","Gm5978",0,1.07,0,0,0,1.41,0,0,0.3,-0.01,-0.15,0.965,NA
"35098","Gm5979",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35099","Gm5981",12.47,1.07,4.01,3.94,1.34,0.7,0,0.68,3,-0.92,-2.87,0.01751,0.04194
"35100","Gm5982",1.78,0,0,0,0.67,0,0,0,0.3,-0.04,-0.89,0.80151,NA
"35101","Gm5983",0,0,2.67,0,0,0.7,0,0,0.4,-0.09,-1.67,0.60903,NA
"35102","Gm5987",0,1.07,1.34,1.31,0,0.7,0,1.35,0.7,-0.1,-0.87,0.65806,NA
"35103","Gm5989",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35104","Gm5990",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35105","Gm5995",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35106","Gm5996",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35107","Gm5997",0,0,0,0,0,0.7,0,0,0.1,-0.01,-0.17,0.9623,NA
"35108","Gm6003",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35109","Gm6004",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35110","Gm6007",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35111","Gm6008",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35112","Gm6009",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35113","Gm6011",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35114","Gm6012",0,1.07,0,0,0.67,0,0,1.35,0.4,0.02,0.32,0.90987,NA
"35115","Gm6013",16.04,16.07,9.36,14.43,16.78,21.08,20.58,11.49,15.7,0.19,0.32,0.46593,0.60088
"35116","Gm6015",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35117","Gm6018",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35118","Gm6019",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35119","Gm6020",0,0,0,3.94,0,0,0,0,0.5,-0.14,-2.88,0.40917,NA
"35120","Gm6023",5.35,5.36,1.34,1.31,1.34,1.41,0,1.35,2.2,-0.41,-1.65,0.16416,0.27108
"35121","Gm6024",0,0,0,0,0,0.7,0,0,0.1,-0.01,-0.17,0.9623,NA
"35122","Gm6025",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35123","Gm6027",0,1.07,0,0,0,0,0,0,0.1,-0.08,-1.61,0.64874,NA
"35124","Gm6028",5.35,0,4.01,2.62,1.34,1.41,0.89,0.68,2,-0.32,-1.41,0.25168,0.37696
"35125","Gm6029",3.56,0,2.67,3.94,0,0,1.79,0,1.5,-0.4,-2.72,0.13302,0.22824
