"","gene","CTX-M-CRE1","CTX-M-CRE2","CTX-M-CRE3","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"16915","Gm20884",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16916","Gm20885",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16917","Gm20886",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16918","Gm20887",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16919","Gm20888",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16920","Gm20889",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16921","Gm2089",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16922","Gm20890",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16923","Gm20891",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16924","Gm20892",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16925","Gm20893",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16926","Gm20894",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16927","Gm20895",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16928","Gm20896",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16929","Gm20897",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16930","Gm20898",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16931","Gm20900",0,2,0,0,0,0,1.1,0.4,-0.01,-0.92,0.78787,NA
"16932","Gm20901",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16933","Gm20902",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16934","Gm20903",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16935","Gm20904",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16936","Gm20905",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16937","Gm20906",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16938","Gm20907",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16939","Gm20908",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16940","Gm20909",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16941","Gm20910",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16942","Gm20911",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16943","Gm20912",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16944","Gm20913",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16945","Gm20914",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16946","Gm20915",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16947","Gm20916",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16948","Gm20917",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16949","Gm20918",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16950","Gm20919",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16951","Gm2092",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16952","Gm20920",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16953","Gm20921",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16954","Gm20922",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16955","Gm20923",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16956","Gm20924",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16957","Gm20925",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16958","Gm20926",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16959","Gm20927",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16960","Gm20928",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16961","Gm20929",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16962","Gm2093",0,0,0,0,0.9,1.11,1.1,0.4,0.03,2.36,0.43019,NA
"16963","Gm20930",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16964","Gm20931",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16965","Gm20932",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16966","Gm20933",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16967","Gm20934",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16968","Gm20935",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16969","Gm20936",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16970","Gm20937",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16971","Gm20939",33.89,18.01,78.71,88.51,69.08,54.62,61.44,57.8,0.23,0.63,0.1398,0.32906
"16972","Gm20940",0,2,0,3,0,0,2.19,1,0.02,0.99,0.67578,NA
"16973","Gm20942",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16974","Gm20945",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16975","Gm20946",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16976","Gm20948",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16977","Gm20949",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16978","Gm20953",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16979","Gm20954",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16980","Gm20963",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16981","Gm20978",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16982","Gm2098",0,0,0,1.5,0,0,0,0.2,0.01,1.15,0.76253,NA
"16983","Gm20987",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16984","Gm2099",1.65,0,0,1.5,0,1.11,0,0.6,0,0.11,0.96779,NA
"16985","Gm20997",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16986","Gm21006",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16987","Gm21007",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16988","Gm21009",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16989","Gm2101",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16990","Gm21010",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16991","Gm21013",0,0,0,0,0.9,1.11,0,0.3,0.01,1.82,0.63224,NA
"16992","Gm21018",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16993","Gm2102",2.48,0,1.43,0,0.9,0,0,0.7,-0.03,-1.94,0.44479,NA
"16994","Gm21021",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16995","Gm21026",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16996","Gm21027",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16997","Gm21028",0.83,0,0.72,1.5,0,1.11,1.1,0.8,0.02,0.76,0.72867,NA
"16998","Gm21032",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16999","Gm21033",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17000","Gm21034",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17001","Gm21035",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17002","Gm21036",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17003","Gm21037",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17004","Gm21038",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17005","Gm21039",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17006","Gm21040",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17007","Gm21041",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17008","Gm21043",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17009","Gm21045",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17010","Gm21046",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17011","Gm21048",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17012","Gm21049",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17013","Gm21050",0,0,0,0,0.9,1.11,1.1,0.4,0.03,2.36,0.43019,NA
"17014","Gm21051",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17015","Gm21054",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17016","Gm21055",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17017","Gm21056",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17018","Gm21057",2.48,0,2.15,1.5,0,0,2.19,1.2,-0.02,-0.81,0.67872,NA
"17019","Gm2106",0,0,0,4.5,4.49,0,0,1.3,0.07,3.86,0.11274,NA
"17020","Gm21060",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17021","Gm21063",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17022","Gm21064",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17023","Gm21065",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17024","Gm21070",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17025","Gm21076",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17026","Gm2108",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17027","Gm21083",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17028","Gm21088",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17029","Gm21089",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17030","Gm2109",0,0,1.43,6,0,3.34,1.1,1.7,0.07,2.31,0.22881,NA
"17031","Gm21092",11.57,5,12.88,13.5,30.5,23.41,24.14,17.3,0.36,1.21,0.02163,0.09958
"17032","Gm21093",0.83,0,0,0,0,0,0,0.1,0,-0.53,0.88961,NA
"17033","Gm21094",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17034","Gm21095",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17035","Gm21103",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17036","Gm21111",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17037","Gm21112",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17038","Gm21114",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17039","Gm21115",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17040","Gm21117",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17041","Gm21118",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17042","Gm21119",0,0,0,0,0.9,0,1.1,0.3,0.01,1.82,0.63224,NA
"17043","Gm21122",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17044","Gm21123",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17045","Gm21127",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17046","Gm21129",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17047","Gm21135",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17048","Gm21136",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17049","Gm21139",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17050","Gm21142",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17051","Gm21147",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17052","Gm21149",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17053","Gm2115",1542.43,316.19,307.69,385.56,1228.25,368.98,1192.69,763.1,0.02,0.14,0.86769,0.93505
"17054","Gm21151",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17055","Gm21152",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17056","Gm21154",0,0,0.72,0,0,0,0,0.1,0,-0.53,0.88961,NA
"17057","Gm21155",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17058","Gm21156",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17059","Gm2116",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17060","Gm21160",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17061","Gm21162",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17062","Gm21163",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17063","Gm21168",1.65,2,2.15,4.5,0.9,1.11,1.1,1.9,-0.01,-0.1,0.9383,NA
"17064","Gm2117",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17065","Gm21170",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17066","Gm21171",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17067","Gm21173",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17068","Gm21178",2.48,3,2.86,4.5,3.59,0,5.49,3.1,0.02,0.28,0.80437,NA
"17069","Gm21180",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17070","Gm21181",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17071","Gm21182",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17072","Gm21184",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17073","Gm21188",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17074","Gm21190",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17075","Gm21191",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17076","Gm21198",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17077","Gm21201",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17078","Gm21209",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17079","Gm21221",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17080","Gm2123",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17081","Gm21232",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17082","Gm21241",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17083","Gm21242",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17084","Gm21244",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17085","Gm21245",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17086","Gm21247",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17087","Gm21248",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17088","Gm21249",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17089","Gm21256",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17090","Gm21257",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17091","Gm21258",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17092","Gm21268",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17093","Gm21269",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17094","Gm21271",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17095","Gm21275",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17096","Gm21276",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17097","Gm2128",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17098","Gm21281",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17099","Gm21282",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17100","Gm21284",4.13,5,1.43,4.5,4.49,4.46,1.1,3.6,0.01,0.06,0.94954,NA
"17101","Gm21285",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17102","Gm21286",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17103","Gm21287",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17104","Gm21292",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17105","Gm21293",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17106","Gm21294",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17107","Gm21297",0,0,0,1.5,0,0,0,0.2,0.01,1.15,0.76253,NA
"17108","Gm21301",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17109","Gm21302",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17110","Gm21304",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17111","Gm21308",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17112","Gm21310",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17113","Gm21312",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17114","Gm21316",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17115","Gm21317",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17116","Gm21319",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17117","Gm21321",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17118","Gm21330",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17119","Gm21333",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17120","Gm21340",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17121","Gm21344",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17122","Gm21350",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17123","Gm21358",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17124","Gm2136",104.98,121.07,52.95,58.51,84.34,76.92,63.64,80.3,-0.18,-0.38,0.23518,0.45291
"17125","Gm21362",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17126","Gm21366",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17127","Gm21370",0,0,0,1.5,0,0,0,0.2,0.01,1.15,0.76253,NA
"17128","Gm21378",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17129","Gm21379",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17130","Gm21380",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17131","Gm21387",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17132","Gm21388",3.31,3,3.58,12,2.69,16.72,13.17,7.8,0.27,1.74,0.0326,NA
"17133","Gm2139",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17134","Gm21392",0,0,0.72,0,0,0,0,0.1,0,-0.53,0.88961,NA
"17135","Gm21394",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17136","Gm21396",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17137","Gm21399",16.53,30.02,23.61,42.01,22.43,27.87,20.85,26.2,0.09,0.26,0.54124,0.72743
"17138","Gm2140",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17139","Gm21405",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17140","Gm21409",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17141","Gm2141",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17142","Gm21411",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17143","Gm21412",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17144","Gm21413",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17145","Gm21419",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17146","Gm2142",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17147","Gm21425",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17148","Gm21427",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17149","Gm21428",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17150","Gm21430",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17151","Gm21435",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17152","Gm21440",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17153","Gm21443",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17154","Gm21450",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17155","Gm21451",0,1,0,0,0,0,0,0.1,0,-0.53,0.88961,NA
"17156","Gm21454",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17157","Gm21461",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17158","Gm21462",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17159","Gm21469",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17160","Gm2147",0,0,0,1.5,0,0,0,0.2,0.01,1.15,0.76253,NA
"17161","Gm21470",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17162","Gm21476",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17163","Gm21477",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17164","Gm21488",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17165","Gm21489",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17166","Gm21497",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17167","Gm2150",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17168","Gm21506",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17169","Gm21518",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17170","Gm21524",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17171","Gm21529",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17172","Gm21530",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17173","Gm21539",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17174","Gm21542",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17175","Gm2155",6.61,17.01,9.3,13.5,12.56,18.95,17.56,13.6,0.13,0.53,0.33869,0.5629
"17176","Gm21559",0.83,1,0,0,0,0,0,0.3,-0.01,-1.53,0.6839,NA
"17177","Gm21560",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17178","Gm21562",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17179","Gm21569",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17180","Gm2157",0,0,0,0,0.9,0,0,0.1,0.01,1.15,0.76253,NA
"17181","Gm21572",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17182","Gm21573",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17183","Gm21577",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17184","Gm21586",0,0,0,0,0.9,0,0,0.1,0.01,1.15,0.76253,NA
"17185","Gm21588",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17186","Gm21596",9.92,10.01,4.29,4.5,5.38,11.15,6.58,7.4,-0.03,-0.2,0.77885,NA
"17187","Gm21599",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17188","Gm21614",0,0,0,0,0,1.11,0,0.2,0.01,1.15,0.76253,NA
"17189","Gm21616",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17190","Gm21617",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17191","Gm21626",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17192","Gm21627",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17193","Gm2163",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17194","Gm21631",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17195","Gm21633",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17196","Gm21634",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17197","Gm21637",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17198","Gm21638",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17199","Gm2164",10.75,7,15.03,7.5,20.64,6.69,20.85,12.6,0.07,0.36,0.57008,0.74623
"17200","Gm21642",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17201","Gm21647",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17202","Gm2165",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17203","Gm21650",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17204","Gm21654",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17205","Gm21655",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17206","Gm21658",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17207","Gm21660",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17208","Gm21661",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17209","Gm21663",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17210","Gm21671",0,0,0,0,0.9,0,0,0.1,0.01,1.15,0.76253,NA
"17211","Gm21672",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17212","Gm21673",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17213","Gm21677",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17214","Gm21678",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17215","Gm21679",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17216","Gm21680",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17217","Gm21683",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17218","Gm21691",6.61,4,7.16,0,7.18,7.8,4.39,5.3,-0.03,-0.25,0.77778,NA
"17219","Gm21693",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17220","Gm21698",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17221","Gm21704",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17222","Gm21708",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17223","Gm21715",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17224","Gm21717",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17225","Gm21718",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17226","Gm21719",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17227","Gm21720",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17228","Gm21721",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17229","Gm21722",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17230","Gm21723",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17231","Gm21724",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17232","Gm21725",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17233","Gm21726",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17234","Gm21728",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17235","Gm21729",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17236","Gm21731",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17237","Gm21733",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17238","Gm21734",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17239","Gm21735",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17240","Gm21736",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17241","Gm21737",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17242","Gm21738",0,0,0,1.5,1.79,0,0,0.5,0.03,2.41,0.46867,NA
"17243","Gm21739",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17244","Gm2174",0,0,0,1.5,0,0,0,0.2,0.01,1.15,0.76253,NA
"17245","Gm21740",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17246","Gm21741",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17247","Gm21742",0,2,0,0,0,1.11,0,0.4,-0.01,-0.92,0.78749,NA
"17248","Gm21744",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17249","Gm21745",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17250","Gm21746",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17251","Gm21748",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17252","Gm21749",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17253","Gm21750",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17254","Gm21751",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17255","Gm21752",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17256","Gm21753",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17257","Gm21754",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17258","Gm21755",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17259","Gm21756",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17260","Gm21757",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17261","Gm21758",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17262","Gm21759",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17263","Gm2176",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17264","Gm21760",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17265","Gm21761",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17266","Gm21762",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17267","Gm21763",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17268","Gm21764",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17269","Gm21765",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17270","Gm21766",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17271","Gm21767",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17272","Gm21768",0,0,0,0,0,0,0,0,0,NA,NA,NA
"17273","Gm21769",9.92,14.01,22.18,30,26.02,13.38,30.72,20.9,0.21,0.69,0.16121,0.3594
