"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","CTX-M-XDP1","CTX-M-XDP2","CTX-M-XDP3","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"32480","Gm48613",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32481","Gm48614",3.14,4.72,1.17,0,5.05,1.4,0,2.2,-0.01,-0.09,0.95365,0.97348
"32482","Gm48615",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32483","Gm48616",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32484","Gm48617",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32485","Gm48618",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32486","Gm48619",12.57,0.94,0,11.5,4.21,0.7,4.12,4.9,-0.2,-1.04,0.37094,0.5195
"32487","Gm4862",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32488","Gm48620",0,0.94,0,0,0,0.7,0,0.2,-0.01,-0.35,0.926,NA
"32489","Gm48621",0,1.89,0,1.15,0,1.4,0,0.6,-0.04,-0.71,0.78877,NA
"32490","Gm48622",0,0.94,0,0,0,0,0,0.1,-0.04,-1.32,0.7302,NA
"32491","Gm48623",524.81,465.03,397.67,465.94,388.01,304.57,405.68,421.7,-0.32,-0.34,0.01527,0.03847
"32492","Gm48624",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32493","Gm48625",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32494","Gm48626",0,0,2.34,2.3,0,0,0,0.7,-0.14,-3.01,0.28941,NA
"32495","Gm48627",0,1.89,1.17,0,0,0,0,0.4,-0.09,-2.44,0.45966,NA
"32496","Gm48628",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32497","Gm48629",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32498","Gm4863",1.57,0,0,0,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"32499","Gm48630",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32500","Gm48631",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32501","Gm48632",0,2.83,1.17,0,0,0,0,0.6,-0.12,-2.83,0.34565,NA
"32502","Gm48633",1.57,0,0,0,0,1.4,0,0.4,0.01,0.41,0.90355,NA
"32503","Gm48634",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32504","Gm48635",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32505","Gm48636",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32506","Gm48637",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32507","Gm48638",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32508","Gm48639",1.57,0.94,2.34,1.15,0,2.81,0.82,1.4,-0.03,-0.27,0.87067,0.92242
"32509","Gm4864",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32510","Gm48640",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32511","Gm48641",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32512","Gm48642",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32513","Gm48643",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32514","Gm48644",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32515","Gm48645",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32516","Gm48646",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32517","Gm48647",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32518","Gm48648",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32519","Gm48649",0,0,0,0,0,0,0,0,0,NA,NA,NA
