"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","CTX-M-XDP1","CTX-M-XDP2","CTX-M-XDP3","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"41252","Mib1",4531.56,4723.9,5049.27,4675.53,4664.56,5017.63,4826.11,4784.1,0.03,0.03,0.70522,0.80948
"41253","Mib2",1032.33,1148.9,1217.58,1106.76,1740.58,1475.81,1541.09,1323.3,0.48,0.49,3.20419552576856e-07,1.9577562004951e-06
"41254","Mical1",226.26,192.43,236.26,242.75,197.79,142.46,158.31,199.5,-0.39,-0.43,0.01052,0.0278
"41255","Mical2",4614.84,5125.73,4952.19,5798.4,7190.43,6669.58,6824.01,5882.2,0.42,0.43,1.06913745289321e-06,6.01574704634977e-06
"41256","Mical3",1195.74,1366.8,1598.88,1609.52,1858.42,1680.73,1871.74,1597.4,0.31,0.32,0.00392,0.01157
"41257","Micall1",1874.53,1961.06,1871.4,2151.39,942.68,868.79,813.83,1497.7,-1.14,-1.17,1.32720064609833e-36,1.84575078240617e-34
"41258","Micall2",42.42,26.41,36.26,34.51,28.62,29.47,35.46,33.3,-0.11,-0.15,0.66062,0.77516
"41259","Micos10",3730.21,3093.93,2826.99,3210.98,1738.06,1800.03,2017.68,2631.1,-0.77,-0.8,1.22664954350412e-14,1.83367944242543e-13
"41260","Micos13",2580.04,2310.07,2160.3,2193.96,1358.46,1318.62,1448.74,1910,-0.73,-0.75,7.50141389413167e-17,1.47536932392247e-15
"41261","Micu1",1390.58,1404.53,1360.27,1316.14,2125.23,1969.16,2130.65,1670.9,0.59,0.6,2.14265246838124e-14,3.13770493263764e-13
"41262","Micu2",488.67,531.06,460.83,508.51,484.8,511.59,513.7,499.9,0.02,0.02,0.87984,0.92795
"41263","Micu3",2592.61,2540.23,2094.8,2038.64,1890.4,2164.25,2102.61,2203.4,-0.17,-0.17,0.10068,0.18942
"41264","Mid1",22,27.35,23.39,56.37,69.86,25.26,32.98,36.7,0.24,0.39,0.3724,0.52072
"41265","Mid1-ps1",17.28,3.77,9.36,5.75,3.37,7.72,19.79,9.6,0.08,0.23,0.76478,0.85206
"41266","Mid1ip1",2166.79,1928.99,2025.79,1914.39,1538.58,1355.11,1574.07,1786.2,-0.42,-0.43,1.36250628994922e-06,7.5540600787411e-06
"41267","Mid2",559.37,616.9,651.48,606.3,790.33,722.12,730.55,668.2,0.28,0.29,0.00335,0.01006
"41268","Midn",1194.17,1150.79,1129.86,1254.02,2618.45,2526.36,2879.34,1821.9,1.15,1.18,2.34071873913086e-43,5.60628146007832e-41
"41269","Mief1",576.66,685.76,654.99,661.52,980.55,842.82,896.29,756.9,0.47,0.49,2.70987540994075e-06,1e-05
"41270","Mief2",366.11,335.8,312.29,260.01,321.52,268.07,301.79,309.4,-0.09,-0.1,0.49926,0.64198
"41271","Mien1",2837.73,2412.89,2286.62,2312.46,1304.6,1249.85,1371.23,1967.9,-0.89,-0.91,2.19053818894308e-21,7.15443048497835e-20
"41272","Mier1",934.91,1077.21,1012.9,866.31,648.93,740.36,681.91,851.8,-0.48,-0.5,3.23045869777702e-06,2e-05
"41273","Mier2",416.39,398.06,375.45,400.37,535.31,501.76,526.07,450.5,0.38,0.39,0.00028,0.00107
"41274","Mier3",267.12,325.43,375.45,372.75,348.45,496.85,434.54,374.4,0.32,0.35,0.02797,0.06484
"41275","Mif",2284.64,2211.03,2073.75,2358.48,2884.42,2376.88,2640.22,2404.2,0.23,0.24,0.00828,0.02249
"41276","Mif-ps",20.43,6.6,11.7,17.26,24.41,14.04,36.28,18.7,0.45,0.86,0.10102,0.18997
"41277","Mif-ps3",3.14,0.94,3.51,2.3,1.68,4.21,4.95,3,0.12,0.58,0.59591,0.72442
"41278","Mif-ps7",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41279","Mif4gd",295.4,305.62,281.88,293.37,163.28,183.86,170.68,242,-0.72,-0.77,2.10043795595905e-08,1.51428229360044e-07
"41280","Miga1",2279.92,2502.5,2133.4,2313.61,2725.34,2913.03,2487.68,2479.4,0.22,0.23,0.00917,0.0246
"41281","Miga2",1400.01,1519.61,1410.57,1436.94,1504.91,1422.48,1579.85,1467.8,0.06,0.06,0.48232,0.62574
"41282","Miip",210.55,216.01,243.28,228.94,72.38,80,69.26,160.1,-1.51,-1.6,1.04413531537619e-20,3.15229423785002e-19
"41283","Mill1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41284","Mill2",56.57,51.88,77.2,66.73,30.3,38.6,42.88,52,-0.59,-0.76,0.00836,0.0227
"41285","Milr1",9.43,2.83,2.34,8.05,2.53,8.42,4.12,5.4,-0.04,-0.12,0.88851,0.93383
"41286","Minar1",161.84,149.04,107.61,170.27,252.5,231.58,237.47,187.2,0.64,0.71,5e-05,0.00022
"41287","Minar2",980.48,930.06,859.67,892.77,919.95,1087.74,989.46,951.4,0.12,0.13,0.19269,0.31871
"41288","Mindy1",449.39,497.1,562.59,514.26,607.69,600.71,685.2,559.6,0.3,0.32,0.00537,0.01532
"41289","Mindy2",2228.07,2554.38,2479.61,2569.01,1891.24,2051.96,2117.45,2270.2,-0.28,-0.28,0.00082,0.00282
"41290","Mindy3",1571.28,1505.46,1201.21,1427.74,1036.94,959.31,962.25,1237.7,-0.51,-0.53,3.89633709659862e-07,2.3454186666931e-06
"41291","Mindy4",91.13,138.66,131,87.44,146.45,147.37,133.58,125.1,0.29,0.34,0.10802,0.20097
"41292","Mindy4b-ps",14.14,15.09,17.54,5.75,10.1,11.93,12.37,12.4,-0.09,-0.19,0.72944,0.82736
"41293","Mink1",4288.02,4081.53,4146.32,4783.68,6041.54,4743.24,5270.55,4765,0.3,0.31,0.00156,0.00508
"41294","Minpp1",911.34,928.18,891.25,782.32,1505.76,1291.95,1335.78,1092.4,0.63,0.65,7.40475045301699e-11,7.26852462501067e-10
"41295","Minpp1-ps",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41296","Mios",424.24,405.61,460.83,409.57,493.22,501.06,456.8,450.2,0.18,0.19,0.09168,0.17555
"41297","Miox",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41298","Mip",0,0,2.34,0,0,0,0,0.3,-0.06,-2.09,0.58212,NA
"41299","Mipep",917.63,885.73,760.26,767.37,979.71,812.65,862.48,855.1,0.08,0.09,0.4257,0.57474
"41300","Mipep-ps",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41301","Mipepos",1.57,0.94,2.34,0,0,4.21,0.82,1.4,0.05,0.51,0.76829,0.85412
"41302","Mipol1",69.14,83.95,67.84,82.83,56.39,52.63,51.12,66.3,-0.43,-0.51,0.03327,0.07526
"41303","Mir100",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41304","Mir100hg",758.93,871.58,855,877.81,287.85,371.23,304.26,618.1,-1.34,-1.39,2.53273485519504e-31,2.16649335470573e-29
"41305","Mir101a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41306","Mir101b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41307","Mir101c",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41308","Mir103-1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41309","Mir103-2",4.71,0,0,1.15,0,0,0,0.8,-0.17,-3.29,0.22073,NA
"41310","Mir105",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41311","Mir106a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41312","Mir106b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41313","Mir107",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41314","Mir10a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41315","Mir10b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41316","Mir1187",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41317","Mir1188",0,8.49,9.36,4.6,0,0.7,0,3.3,-0.72,-4.34,0.00742,0.02041
"41318","Mir1190",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41319","Mir1191",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41320","Mir1191b",3.14,0,0,0,0,0,0,0.4,-0.06,-2.27,0.5407,NA
"41321","Mir1192",0,0.94,0,0,0,0,0,0.1,-0.04,-1.32,0.7302,NA
"41322","Mir1193",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41323","Mir1195",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41324","Mir1197",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41325","Mir1198",0,0,3.51,2.3,0.84,0,0,1,-0.15,-2.37,0.31563,NA
"41326","Mir1199",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41327","Mir122",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41328","Mir1224",0,0.94,0,0,0,0,0,0.1,-0.04,-1.32,0.7302,NA
"41329","Mir1231",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41330","Mir124-2hg",938.05,947.99,867.86,947.99,275.23,292.64,258.09,646.8,-1.72,-1.75,2.23576914468444e-63,2.1906472583099e-60
"41331","Mir1247",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41332","Mir1249",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41333","Mir124a-1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41334","Mir124a-1hg",2213.93,2407.23,2410.6,2623.09,175.91,389.48,234.17,1493.5,-3.1,-3.18,2.34617589585804e-27,1.4367661253158e-25
"41335","Mir124a-2",0,0,1.17,0,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"41336","Mir124a-3",0,0.94,0,0,0,0,0,0.1,-0.04,-1.32,0.7302,NA
"41337","Mir1251",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41338","Mir1258",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41339","Mir125a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41340","Mir125b-1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41341","Mir125b-2",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41342","Mir1264",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41343","Mir126a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41344","Mir126b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41345","Mir127",0,1.89,1.17,0,0,0,1.65,0.7,-0.03,-0.55,0.83339,NA
"41346","Mir128-1",1.57,4.72,5.85,0,0,0,0,1.7,-0.46,-4.41,0.02482,0.05835
"41347","Mir128-2",0,0,0,0,0,0,1.65,0.2,0.04,1.32,0.72553,NA
"41348","Mir129-1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41349","Mir129-2",0,0,1.17,0,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"41350","Mir1291",4.71,6.6,4.68,2.3,1.68,0,0,2.9,-0.5,-3.1,0.03457,0.07775
"41351","Mir1298",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41352","Mir129b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41353","Mir1306",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41354","Mir130a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41355","Mir130b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41356","Mir130c",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41357","Mir132",11,6.6,3.51,4.6,6.73,4.21,6.6,6.2,-0.04,-0.12,0.88183,0.92943
"41358","Mir133a-1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41359","Mir133a-1hg",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41360","Mir133a-2",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41361","Mir133b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41362","Mir133c",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41363","Mir134",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41364","Mir135a-1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41365","Mir135a-2",4.71,3.77,5.85,4.6,0,0.7,0,2.8,-0.7,-4.07,0.00889,0.02393
"41366","Mir135b",0,0.94,2.34,0,0,0,0,0.5,-0.09,-2.52,0.4334,NA
"41367","Mir136",4.71,0.94,3.51,1.15,0,1.4,0,1.7,-0.25,-2.34,0.18021,0.30242
"41368","Mir137",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41369","Mir138-1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41370","Mir138-2",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41371","Mir139",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41372","Mir140",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41373","Mir141",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41374","Mir142",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41375","Mir142b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41376","Mir142hg",1.57,6.6,0,3.45,0.84,0,0,1.8,-0.35,-3.39,0.07166,0.14329
"41377","Mir143",0,0,0,2.3,0,0,0,0.3,-0.06,-2.08,0.58518,NA
"41378","Mir144",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41379","Mir145a",1.57,1.89,3.51,0,0,0,0,1,-0.26,-3.59,0.11448,NA
"41380","Mir145b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41381","Mir146",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41382","Mir146b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41383","Mir147",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41384","Mir148a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41385","Mir148b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41386","Mir149",0,1.89,3.51,0,0,0,0,0.8,-0.17,-3.24,0.22897,NA
"41387","Mir150",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41388","Mir151",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41389","Mir152",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41390","Mir153",0,0,0,0,2.53,0,0,0.4,0.05,1.94,0.60259,NA
"41391","Mir154",0,0,0,1.15,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"41392","Mir155",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41393","Mir155hg",0,0.94,0,1.15,0,0.7,0.82,0.5,-0.01,-0.17,0.94873,NA
"41394","Mir15a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41395","Mir15b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41396","Mir16-1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41397","Mir16-2",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41398","Mir1668",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41399","Mir17",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41400","Mir17hg",14.14,16.98,18.71,24.16,1.68,7.02,4.12,12.4,-1.11,-2.09,0.00082,0.00283
"41401","Mir18",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41402","Mir181a-1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41403","Mir181a-1hg",18.86,16.04,22.22,16.11,0.84,3.51,7.42,12.1,-1.16,-2.22,7e-04,0.00245
"41404","Mir181a-2",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41405","Mir181b-1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41406","Mir181b-2",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41407","Mir181c",0,0.94,1.17,3.45,0,0,0,0.8,-0.2,-3.28,0.1803,NA
"41408","Mir181d",0,0,1.17,0,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"41409","Mir182",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41410","Mir183",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41411","Mir1839",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41412","Mir184",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41413","Mir1843a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41414","Mir1843b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41415","Mir185",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41416","Mir186",14.14,11.32,10.53,18.41,0,0,0,7.8,-4.39,-6.55,1.06671727532357e-06,6.00369649787856e-06
"41417","Mir187",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41418","Mir188",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41419","Mir1892",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41420","Mir1893",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41421","Mir1894",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41422","Mir1895",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41423","Mir1896",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41424","Mir1897",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41425","Mir1898",6.29,12.26,11.7,4.6,0.84,1.4,0,5.3,-1.1,-3.51,0.0022,0.00689
"41426","Mir1899",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41427","Mir18b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41428","Mir1900",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41429","Mir1901",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41430","Mir1902",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41431","Mir1903",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41432","Mir1904",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41433","Mir1905",0,0.94,0,0,0,1.4,5.77,1.2,0.21,2.73,0.20303,NA
"41434","Mir1906-1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41435","Mir1906-2",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41436","Mir1907",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41437","Mir190a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41438","Mir190b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41439","Mir191",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41440","Mir1912",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41441","Mir192",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41442","Mir1927",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41443","Mir1928",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41444","Mir1929",0,0.94,0,0,0,0,0,0.1,-0.04,-1.32,0.7302,NA
"41445","Mir1930",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41446","Mir1931",0,2.83,7.02,4.6,0,1.4,3.3,2.7,-0.2,-1.23,0.35703,0.50603
"41447","Mir1932",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41448","Mir1933",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41449","Mir1934",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41450","Mir1936",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41451","Mir1938",0,0,0,1.15,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"41452","Mir193a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41453","Mir193b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41454","Mir194-1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41455","Mir194-2",0,0,0,1.15,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"41456","Mir1941",1.57,0,0,0,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"41457","Mir1942",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41458","Mir1943",3.14,0.94,0,0,0,0,0,0.6,-0.12,-2.78,0.35526,NA
"41459","Mir1945",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41460","Mir1946a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41461","Mir1946b",0,0,1.17,0,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"41462","Mir1947",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41463","Mir1948",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41464","Mir1949",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41465","Mir1950",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41466","Mir1951",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41467","Mir1952",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41468","Mir1953",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41469","Mir1954",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41470","Mir1955",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41471","Mir1956",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41472","Mir1957a",0,0,0,0,0,0.7,0,0.1,0.01,0.37,0.92344,NA
"41473","Mir1957b",0,0,0,0,0,2.11,0,0.3,0.05,1.7,0.64927,NA
"41474","Mir1958",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41475","Mir195a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41476","Mir195b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41477","Mir1960",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41478","Mir1961",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41479","Mir1962",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41480","Mir1963",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41481","Mir1964",0,0.94,0,1.15,0,0,0,0.3,-0.05,-1.99,0.60162,NA
"41482","Mir1966",0,0,1.17,1.15,0,0,0,0.3,-0.06,-2.08,0.56981,NA
"41483","Mir1967",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41484","Mir1968",0,0.94,0,0,0,0,0,0.1,-0.04,-1.32,0.7302,NA
"41485","Mir1969",0,0,0,0,0,0,0.82,0.1,0.01,0.37,0.92344,NA
"41486","Mir196a-1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41487","Mir196a-2",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41488","Mir196b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41489","Mir1970",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41490","Mir1971",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41491","Mir1981",1.57,0,0,0,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"41492","Mir1982",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41493","Mir1983",0,0,0,0,1.68,1.4,3.3,0.9,0.25,3.28,0.13125,NA
"41494","Mir199a-1",0,0.94,0,0,0,0,1.65,0.4,0.02,0.6,0.86472,NA
"41495","Mir199a-2",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41496","Mir199b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41497","Mir19a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41498","Mir19b-1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41499","Mir19b-2",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41500","Mir1a-1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41501","Mir1a-2",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41502","Mir1b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41503","Mir200a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41504","Mir200b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41505","Mir200c",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41506","Mir201",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41507","Mir202",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41508","Mir203",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41509","Mir204",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41510","Mir205",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41511","Mir205hg",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41512","Mir206",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41513","Mir207",1.57,0,0,0,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"41514","Mir208a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41515","Mir208b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41516","Mir20a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41517","Mir20b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41518","Mir210",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41519","Mir211",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41520","Mir212",0,3.77,1.17,3.45,4.21,2.11,8.25,3.3,0.23,1.13,0.31838,0.4651
"41521","Mir2136",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41522","Mir2137",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41523","Mir2139",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41524","Mir214",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41525","Mir215",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41526","Mir216a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41527","Mir216b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41528","Mir216c",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41529","Mir217",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41530","Mir217hg",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41531","Mir218-1",0,0.94,0,0,0,0,0,0.1,-0.04,-1.32,0.7302,NA
"41532","Mir218-2",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41533","Mir219a-1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41534","Mir219a-2",15.71,17.92,9.36,8.05,6.73,2.81,0.82,8.8,-0.74,-1.9,0.01288,0.03314
"41535","Mir219b",0,0.94,0,1.15,0,0,0,0.3,-0.05,-1.99,0.60162,NA
"41536","Mir219c",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41537","Mir21a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41538","Mir21b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41539","Mir21c",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41540","Mir22",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41541","Mir221",0,0.94,3.51,1.15,0,0,0,0.8,-0.2,-3.29,0.17853,NA
"41542","Mir222",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41543","Mir223",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41544","Mir224",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41545","Mir22hg",619.08,539.55,478.38,505.06,261.76,309.48,276.23,427.1,-0.87,-0.92,1.17375213117432e-12,1.43676325608141e-11
"41546","Mir23a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41547","Mir23b",1.57,0,2.34,1.15,0,0,0,0.7,-0.18,-3.11,0.22037,NA
"41548","Mir24-1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41549","Mir24-2",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41550","Mir25",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41551","Mir26a-1",0,1.89,0,0,0,0,0,0.3,-0.05,-1.91,0.61545,NA
"41552","Mir26a-2",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41553","Mir26b",0,0.94,0,0,0,0,0,0.1,-0.04,-1.32,0.7302,NA
"41554","Mir27a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41555","Mir27b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41556","Mir2861",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41557","Mir28a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41558","Mir28b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41559","Mir28c",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41560","Mir290a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41561","Mir290b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41562","Mir291a",0,0,0,0,0,0,0,0,0,NA,NA,NA
