"","gene","CTX-M-CRE1","CTX-M-CRE2","CTX-M-CRE3","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","CTX-M-XDP1","CTX-M-XDP2","CTX-M-XDP3"
"240","1700020D05Rik",0.9,1.1,2.33,13.1,3.93,14.56,5.99,0,0,4.26
"241","1700020D12Rik",0,0,0,0,0,0,0,0,0,0
"242","1700020G03Rik",0,0,0,0,0.98,0,0,0,0.73,0
"243","1700020G17Rik",0.9,0,0,0,0,0,0,0,0,0
"244","1700020L24Rik",6.3,3.29,6.99,1.64,0.98,4.85,7.18,5.22,7.25,3.41
"245","1700020M21Rik",0,0,0,0,0,0,0,0,0,0
"246","1700020N01Rik",0,2.19,6.21,0,3.93,2.43,2.39,1.74,0,1.71
"247","1700020N15Rik",0,0,0,0,0,0,0,0,0.73,0
"248","1700020N18Rik",9,5.48,0,8.19,6.87,8.49,10.77,1.74,9.43,3.41
"249","1700021A07Rik",0,0,0,0,0,0,0,0,0,0
"250","1700021F02Rik",0,0,0,0,0,0,0,0,0,0
"251","1700021F07Rik",0,0,1.55,0,0,1.21,1.2,0,0,0.85
"252","1700021F13Rik",0,0,0,0,0,0,0,0,0,0
"253","1700021G15Rik",0,0,0,0,0,0,0,0,0,0
"254","1700021J08Rik",0,0,1.55,0,0,2.43,0,0,0,0.85
"255","1700021L23Rik",0,2.19,0,0,0,0,1.2,0,0,0
"256","1700021N21Rik",0.9,0,0,0,0,3.64,1.2,0.87,0,0
"257","1700021P04Rik",0,0,0,0,0,0,0,0,0,0
"258","1700022A21Rik",0,0,0,0,0,0,0,0,0,0
"259","1700022A22Rik",0,0,0,0,0,0,0,0,0,0
"260","1700022E09Rik",0,0,0,0,0,0,0,0,0,0
"261","1700022H01Rik",0,0,0,3.27,0,0,1.2,0,0.73,0
"262","1700022H16Rik",0,0,0,0,0,0,0,0,0,0
"263","1700022I11Rik",2.7,0,0,0,1.96,4.85,1.2,0.87,8.7,2.56
"264","1700022N22Rik",6.3,2.19,2.33,1.64,2.94,6.07,10.77,5.22,2.9,1.71
"265","1700023B13Rik",1.8,0,0.78,1.64,1.96,0,0,0,2.18,3.41
"266","1700023C21Rik",0,0,0,0,0,0,0,0,0,0
"267","1700023F02Rik",0,0,10.09,0,2.94,0,3.59,6.1,2.9,1.71
"268","1700023G09Rik",0,0,0,0,0,0,0,0,0,0
"269","1700023H06Rik",0,0,0,0,0.98,0,1.2,0,0,0
"270","1700024B05Rik",0,0,0,0,0,0,0,0,0,0
"271","1700024B18Rik",0,0,0,1.64,0,0,0,0,0,0
