"","gene","STR-M-CRE1","STR-M-CRE2","STR-M-CRE3","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","STR-M-XDP1","STR-M-XDP2","STR-M-XDP3"
"2591","AA645442",0,0,0,0,0,0,0,0,0,0
"2592","AA672651",0,0,0,0,0,0,0,0,0,0
"2593","AA684185",0,0,0,0,0,0,0,0,0,0
"2594","AA792892",0,0,0,0,0,0,0,0,0,0
"2595","AA914427",4.61,5.56,1.2,4.59,8.06,2.02,3.83,3.26,7.75,2.26
"2596","AA986860",99.51,104.47,86.47,90.28,107.99,85,98.15,82.7,68.5,124.5
"2597","AAdacl4fm3",0,0,0,0,0,0,0,0,0,0
"2598","AB041806",63.58,40.01,54.05,48.2,79.79,46.55,34.51,60.93,47.82,53.2
"2599","AB124611",22.11,16.67,9.61,8.42,6.45,11.13,13.04,15.23,6.46,15.85
"2600","AC015535.1",0,0,0,0,0,0,0,1.09,0,0
"2601","AC020971.1",0.92,2.22,0,0,0,0,0,2.18,0,0
"2602","AC073947.1",0,0,0,0,0,0,0,0,0,0
"2603","AC074312.1",0,0,0,0,0,0,0,0,0,0
"2604","AC087801.1",0,0,0,0,0,0,0,0,0,0
"2605","AC087801.2",0,0,0,0,0,0,0,0,0,0
"2606","AC087801.3",0,0,0,0,0,0,0,0,0,0
"2607","AC093451.1",0,0,0,0,0,0,0,0,0,0
"2608","AC099642.1",0,0,0,0,0,0,0,0,0,0
"2609","AC099860.1",0,1.11,2.4,0,2.42,1.01,3.07,2.18,0,0
"2610","AC102368.1",0,0,0,0,0,0,0,0,1.29,0
"2611","AC102368.2",0,0,0,0,0.81,0,0,1.09,0,0
"2612","AC102392.1",0,0,0,0,0,0,0,0,0,0
"2613","AC103362.1",0,0,0,0,0,0,0,0,0,2.26
"2614","AC106834.1",0,0,0,0,0,0,0.77,0,6.46,1.13
"2615","AC107703.1",0,0,0,0,0,0,0,0,0,0
"2616","AC107736.1",0,0,0,0,0,0,0,0,0,0
"2617","AC107792.1",3.69,15.56,3.6,9.95,7.25,0,2.3,9.79,21.97,7.92
"2618","AC108942.1",0,0,0,0,0,0,0,0,0,0
"2619","AC109619.1",132.68,213.39,180.16,161.44,124.11,144.7,133.42,132.75,134.41,132.43
"2620","AC110885.1",0,0,0,0,0,0,0,0,0,0
"2621","AC113595.1",0,2.22,0,0,0,0,0,0,0,1.13
"2622","AC114824.1",0,0,0,0,0,0,0,0,0,0
"2623","AC115752.1",0.92,16.67,7.21,8.42,8.87,8.1,5.37,3.26,9.05,6.79
"2624","AC117663.1",0,0,0,0,0,0,0,0,0,0
"2625","AC117663.2",0,0,0,0,0,0,0,0,0,0
"2626","AC117663.3",0,0,0,0,0,0,0,0,0,0
"2627","AC117671.1",0,0,0,0,0,0,0,0,0,0
"2628","AC118632.1",0,0,0,0,0,0,0,0,0,0
"2629","AC118710.1",0,0,0,0,0,0,0,0,0,0
"2630","AC119183.1",12.9,1.11,13.21,4.59,8.87,6.07,6.9,1.09,2.58,2.26
"2631","AC119987.1",0,0,0,0,0,0,0,0,0,0
"2632","AC120011.1",0,0,0,0,0,0,0,0,0,0
