"","gene","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","STR-M-XDP1","STR-M-XDP2","STR-M-XDP3","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"16047","Gm18979",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16048","Gm18980",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16049","Gm18981",0.79,0,0,0,0,0,0,0.1,0,-0.23,0.95104,NA
"16050","Gm18982",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16051","Gm18983",1.59,0,0,0,0,0,0,0.2,0,-0.93,0.80793,NA
"16052","Gm18984",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16053","Gm18985",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16054","Gm18986",0,0,1.05,1.58,0,0,0,0.4,0,-1.56,0.67318,NA
"16055","Gm18988",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16056","Gm18990",0,0.83,0,1.58,0,1.33,2.34,0.9,0.01,0.98,0.6499,NA
"16057","Gm18991",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16058","Gm18992",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16059","Gm18993",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16060","Gm18994",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16061","Gm18995",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16062","Gm18996",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16063","Gm18997",0,0,0,0,1.12,0,0,0.2,0,1.45,0.70428,NA
"16064","Gm18999",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16065","Gm19000",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16066","Gm19001",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16067","Gm19002",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16068","Gm19005",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16069","Gm19007",0,0,0,0,1.12,0,1.17,0.3,0,2.28,0.54579,NA
"16070","Gm19009",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16071","Gm19010",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16072","Gm19011",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16073","Gm19012",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16074","Gm19013",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16075","Gm19014",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16076","Gm19015",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16077","Gm19016",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16078","Gm19018",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16079","Gm19024",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16080","Gm19026",42.91,32.42,40.78,34.86,38.17,49.34,38.61,39.6,0.01,0.15,0.61581,0.90778
"16081","Gm19027",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16082","Gm19028",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16083","Gm19029",0,0,0,0,1.12,0,1.17,0.3,0,2.28,0.54579,NA
"16084","Gm19030",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16085","Gm19031",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16086","Gm19032",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16087","Gm19033",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16088","Gm19034",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16089","Gm19035",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16090","Gm19039",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16091","Gm19040",8.74,6.65,3.14,7.13,6.74,6.67,17.55,8.1,0.02,0.67,0.33831,NA
"16092","Gm19045",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16093","Gm19046",0.79,0,0,0,0,5.33,0,0.9,0.01,2.75,0.33751,NA
"16094","Gm19047",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16095","Gm19050",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16096","Gm19052",0.79,3.33,1.05,0,1.12,0,0,0.9,-0.01,-1.58,0.48081,NA
"16097","Gm19056",0,1.66,0,0,0,0,0,0.2,0,-0.97,0.79871,NA
"16098","Gm19057",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16099","Gm19058",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16100","Gm19060",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16101","Gm19062",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16102","Gm19065",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16103","Gm19066",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16104","Gm19073",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16105","Gm19074",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16106","Gm19076",0,0,1.05,0.79,0,0,0,0.3,0,-0.97,0.799,NA
"16107","Gm19077",0,0,1.05,0,0,0,0,0.1,0,-0.23,0.95104,NA
"16108","Gm19078",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16109","Gm19080",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16110","Gm19082",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16111","Gm19084",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16112","Gm19085",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16113","Gm19086",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16114","Gm19087",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16115","Gm19088",0,0,4.18,0.79,0,0,1.17,0.9,-0.01,-1.49,0.56424,NA
"16116","Gm19089",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16117","Gm19090",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16118","Gm19091",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16119","Gm19092",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16120","Gm19093",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16121","Gm19094",0.79,0,0,0,0,0,0,0.1,0,-0.23,0.95104,NA
"16122","Gm19095",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16123","Gm19096",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16124","Gm19097",0,0,0,0,0,1.33,0,0.2,0,1.45,0.70428,NA
"16125","Gm19098",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16126","Gm19099",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16127","Gm19100",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16128","Gm19102",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16129","Gm19104",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16130","Gm19108",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16131","Gm19109",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16132","Gm19111",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16133","Gm19113",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16134","Gm19114",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16135","Gm19116",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16136","Gm19118",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16137","Gm19119",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16138","Gm19120",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16139","Gm19121",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16140","Gm19123",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16141","Gm19124",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16142","Gm19125",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16143","Gm19126",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16144","Gm19127",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16145","Gm19129",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16146","Gm19131",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16147","Gm19134",0,0,0,0.79,0,0,0,0.1,0,-0.23,0.95104,NA
"16148","Gm19136",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16149","Gm19137",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16150","Gm19139",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16151","Gm19140",3.97,0,0,0.79,0,0,0,0.7,-0.01,-2.44,0.43423,NA
"16152","Gm19141",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16153","Gm19142",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16154","Gm19144",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16155","Gm19145",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16156","Gm19146",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16157","Gm19147",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16158","Gm19148",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16159","Gm19153",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16160","Gm19154",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16161","Gm19156",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16162","Gm19157",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16163","Gm19158",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16164","Gm19159",1.59,3.33,4.18,3.96,5.61,1.33,0,2.9,-0.01,-0.47,0.70039,NA
"16165","Gm19161",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16166","Gm19163",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16167","Gm19164",0,2.49,1.05,0.79,0,0,0,0.6,-0.01,-2.29,0.39536,NA
"16168","Gm19165",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16169","Gm19166",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16170","Gm19168",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16171","Gm19169",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16172","Gm19170",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16173","Gm19172",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16174","Gm19173",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16175","Gm19174",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16176","Gm19175",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16177","Gm19176",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16178","Gm19177",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16179","Gm19178",0.79,1.66,1.05,1.58,3.37,0,1.17,1.4,0,0.28,0.85641,NA
"16180","Gm19179",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16181","Gm19181",0,0,0,0,0,0,1.17,0.2,0,1.45,0.70428,NA
"16182","Gm19182",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16183","Gm19183",0,0,0,0,0,1.33,0,0.2,0,1.45,0.70428,NA
"16184","Gm19184",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16185","Gm19185",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16186","Gm19186",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16187","Gm19187",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16188","Gm19189",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16189","Gm19193",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16190","Gm19194",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16191","Gm19195",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16192","Gm19196",177.99,147.15,154.76,149.72,117.87,138.69,139.22,146.5,-0.05,-0.26,0.1505,0.6191
"16193","Gm19197",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16194","Gm19198",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16195","Gm19199",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16196","Gm19200",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16197","Gm19201",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16198","Gm19202",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16199","Gm19203",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16200","Gm19206",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16201","Gm19207",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16202","Gm19208",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16203","Gm19209",3.18,1.66,3.14,0.79,0,4,3.51,2.3,0,0.18,0.88703,NA
"16204","Gm19210",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16205","Gm19211",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16206","Gm19212",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16207","Gm19214",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16208","Gm19216",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16209","Gm19217",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16210","Gm19219",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16211","Gm19220",0,0.83,1.05,0,0,0,1.17,0.4,0,-0.04,0.99028,NA
"16212","Gm19221",4.77,0.83,5.23,4.75,4.49,8,3.51,4.5,0.01,0.45,0.62235,NA
"16213","Gm19222",0,0,0,0,0,2.67,2.34,0.7,0.01,3.39,0.23979,NA
"16214","Gm19223",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16215","Gm19224",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16216","Gm19227",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16217","Gm19228",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16218","Gm19231",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16219","Gm19232",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16220","Gm19233",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16221","Gm19235",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16222","Gm19236",0.79,0,0,0,0,0,0,0.1,0,-0.23,0.95104,NA
"16223","Gm19237",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16224","Gm19238",0,0,1.05,0,1.12,0,0,0.3,0,0.73,0.84886,NA
"16225","Gm19239",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16226","Gm19241",0,0,0,0,0,1.33,0,0.2,0,1.45,0.70428,NA
"16227","Gm19243",0,0,0,2.38,2.25,1.33,0,0.9,0,0.98,0.6956,NA
"16228","Gm19244",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16229","Gm19246",0,1.66,0,0,0,0,0,0.2,0,-0.97,0.79871,NA
"16230","Gm19248",1.59,0.83,0,0.79,2.25,0,0,0.8,0,-0.09,0.96698,NA
"16231","Gm19252",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16232","Gm19253",2.38,0,1.05,0,0,0,0,0.5,0,-1.95,0.56803,NA
"16233","Gm19254",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16234","Gm19256",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16235","Gm19257",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16236","Gm19261",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16237","Gm19265",19.86,17.46,18.82,11.88,14.59,25.34,12.87,17.3,0,0.04,0.93026,0.98849
"16238","Gm19267",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16239","Gm19269",0,0,0,0,1.12,0,0,0.2,0,1.45,0.70428,NA
"16240","Gm19272",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16241","Gm19276",0,2.49,0,0.79,1.12,0,0,0.6,0,-0.94,0.73153,NA
"16242","Gm19277",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16243","Gm19280",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16244","Gm19283",1.59,0,0,0,0,0,0,0.2,0,-0.93,0.80793,NA
"16245","Gm19287",0,0.83,0,1.58,0,1.33,0,0.5,0,-0.51,0.8587,NA
"16246","Gm19290",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16247","Gm19291",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16248","Gm19299",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16249","Gm19301",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16250","Gm19303",1.59,0.83,0,2.38,2.25,5.33,0,1.8,0.01,1.02,0.51347,NA
"16251","Gm19309",0,0,0,0,1.12,0,0,0.2,0,1.45,0.70428,NA
"16252","Gm19311",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16253","Gm19312",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16254","Gm19320",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16255","Gm19324",0.79,1.66,0,0,0,4,0,0.9,0.01,1.07,0.66357,NA
"16256","Gm19325",0,0,0,0.79,0,0,1.17,0.3,0,0.73,0.84886,NA
"16257","Gm19326",0,0.83,1.05,0.79,0,1.33,2.34,0.9,0.01,0.89,0.64764,NA
"16258","Gm19327",0,0,1.05,0,0,0,0,0.1,0,-0.23,0.95104,NA
"16259","Gm19331",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16260","Gm19334",0,0,0,0,0,1.33,0,0.2,0,1.45,0.70428,NA
"16261","Gm19335",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16262","Gm19337",0,0,0,0,1.12,0,0,0.2,0,1.45,0.70428,NA
"16263","Gm19340",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16264","Gm19345",103.3,94.77,86.79,131.5,107.77,133.36,127.52,112.1,0.03,0.23,0.28976,0.75444
"16265","Gm19353",0.79,4.16,1.05,3.17,3.37,0,3.51,2.3,0,0.01,0.99154,NA
"16266","Gm19366",0.79,5.82,1.05,8.71,2.25,4,4.68,3.9,0,-0.19,0.86321,NA
"16267","Gm19368",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16268","Gm19371",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16269","Gm19385",1.59,2.49,5.23,3.96,3.37,0,2.34,2.7,-0.01,-0.75,0.53104,NA
"16270","Gm19391",13.51,11.64,1.05,10.3,5.61,5.33,5.85,7.6,-0.02,-0.72,0.38037,NA
"16271","Gm19395",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16272","Gm19399",0,0,2.09,0,0,0,0,0.3,0,-1.12,0.76875,NA
"16273","Gm19402",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16274","Gm19409",3.18,0.83,0,7.13,4.49,0,3.51,2.7,0,-0.06,0.96448,NA
"16275","Gm19410",529.2,498.81,99.34,318.46,305.34,172.03,272.59,313.7,-0.02,-0.53,0.37787,0.8058
"16276","Gm19412",58.01,66.51,47.05,65.75,55.01,46.68,54.99,56.3,-0.02,-0.19,0.48469,0.85359
"16277","Gm19418",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16278","Gm19426",23.04,16.63,21.96,22.97,19.08,17.34,23.4,20.6,-0.01,-0.08,0.84101,0.96972
"16279","Gm19427",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16280","Gm19428",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16281","Gm1943",0.79,8.31,3.14,7.13,8.98,10.67,5.85,6.4,0.02,0.8,0.34283,NA
"16282","Gm19430",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16283","Gm19434",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16284","Gm19437",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16285","Gm19439",37.35,46.56,27.19,56.25,31.43,22.67,30.42,36,-0.05,-0.57,0.12246,0.57549
"16286","Gm19441",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16287","Gm19445",1.59,0.83,0,0,1.12,5.33,0,1.3,0.01,1.78,0.37154,NA
"16288","Gm19457",0,0,0,0,0,0,1.17,0.2,0,1.45,0.70428,NA
"16289","Gm19459",0,0.83,0,0,0,0,0,0.1,0,-0.23,0.95104,NA
"16290","Gm19461",30.19,49.05,28.23,38.03,53.88,80.02,43.29,46.1,0.09,0.69,0.04431,0.38527
"16291","Gm19466",0.79,0,0,1.58,2.25,1.33,0,0.9,0.01,0.97,0.65547,NA
"16292","Gm1947",0,0,0,0,0,1.33,0,0.2,0,1.45,0.70428,NA
"16293","Gm19480",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16294","Gm19486",0,0.83,0,0.79,0,0,0,0.2,0,-0.95,0.80359,NA
"16295","Gm19498",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16296","Gm19500",29.4,78.15,3.14,29.31,5.61,8,4.68,22.6,-0.26,-2.53,0.00197,0.06617
"16297","Gm19503",6.36,13.3,6.27,11.09,10.1,10.67,26.91,12.1,0.04,0.78,0.20703,0.68448
"16298","Gm19505",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16299","Gm19510",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16300","Gm19514",0.79,0,0,0,0,1.33,0,0.3,0,0.73,0.84886,NA
"16301","Gm19519",0,1.66,0,0,0,0,0,0.2,0,-0.97,0.79871,NA
"16302","Gm19522",61.18,65.68,63.78,36.44,41.53,40.01,80.73,55.6,0,-0.06,0.85504,0.9728
"16303","Gm19531",81.05,131.35,80.51,90.31,240.23,176.03,211.76,144.5,1,1.13,1.40252498441939e-06,0.00019
"16304","Gm19540",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16305","Gm19541",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16306","Gm19552",0,0,0,1.58,0,0,0,0.2,0,-0.92,0.80855,NA
"16307","Gm19553",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16308","Gm19554",27.02,17.46,16.73,21.39,32.55,12,24.57,21.7,0.01,0.16,0.72038,0.93919
"16309","Gm19557",1.59,2.49,4.18,0.79,3.37,4,0,2.3,0,0.13,0.91897,NA
"16310","Gm19560",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16311","Gm19563",0,0,0,0,1.12,0,0,0.2,0,1.45,0.70428,NA
"16312","Gm19566",0,0,0,0.79,1.12,1.33,0,0.5,0.01,1.64,0.57367,NA
"16313","Gm19569",23.04,26.6,31.37,22.97,24.7,26.67,25.74,25.9,0,-0.01,0.97649,0.99521
"16314","Gm19571",0,0,1.05,0,0,0,0,0.1,0,-0.23,0.95104,NA
"16315","Gm19572",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16316","Gm19582",10.33,0.83,5.23,4.75,11.23,0,3.51,5.1,0,-0.09,0.93767,NA
"16317","Gm19583",0,0,0,0.79,0,0,0,0.1,0,-0.23,0.95104,NA
"16318","Gm19585",0.79,3.33,1.05,6.34,4.49,4,0,2.9,0,-0.04,0.97412,NA
"16319","Gm19587",4.77,4.16,11.5,10.3,8.98,9.34,5.85,7.8,0,0.08,0.91065,NA
"16320","Gm19589",0,0,1.05,0,0,0,0,0.1,0,-0.23,0.95104,NA
"16321","Gm19590",3.97,5.82,0,3.17,0,0,4.68,2.5,-0.01,-1.05,0.51612,NA
"16322","Gm19596",0.79,0,0,0,0,0,0,0.1,0,-0.23,0.95104,NA
"16323","Gm19599",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16324","Gm19605",58.01,53.21,35.55,36.44,47.15,44.01,40.95,45,-0.01,-0.06,0.84588,0.97123
"16325","Gm19610",0,1.66,0,0,1.12,0,0,0.4,0,-0.01,0.99794,NA
"16326","Gm19611",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16327","Gm19612",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16328","Gm19617",0,0,0,0.79,0,0,1.17,0.3,0,0.73,0.84886,NA
"16329","Gm19619",0.79,11.64,4.18,16.64,4.49,5.33,5.85,7,-0.02,-0.68,0.47197,NA
"16330","Gm19620",0,1.66,0,0.79,2.25,0,1.17,0.8,0.01,0.89,0.68239,NA
"16331","Gm19624",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16332","Gm19637",0,0,0,0,0,0,1.17,0.2,0,1.45,0.70428,NA
"16333","Gm19640",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16334","Gm19641",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16335","Gm19649",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16336","Gm1965",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16337","Gm19653",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16338","Gm19656",0.79,0,0,0,0,0,0,0.1,0,-0.23,0.95104,NA
"16339","Gm19658",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16340","Gm1966",8.74,5.82,10.46,14.26,2.25,8,8.19,8.2,-0.02,-0.69,0.3369,NA
"16341","Gm19666",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16342","Gm19667",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16343","Gm19668",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16344","Gm1968",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16345","Gm19680",0,0.83,1.05,0,0,0,2.34,0.6,0,0.83,0.76446,NA
"16346","Gm19683",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16347","Gm19684",0,0,1.05,2.38,0,0,0,0.5,0,-1.95,0.56879,NA
"16348","Gm19688",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16349","Gm19689",1.59,4.16,0,0,4.49,13.34,0,3.4,0.02,2.02,0.20075,NA
"16350","Gm1969",0,0,0,0,0,1.33,1.17,0.4,0.01,2.39,0.51986,NA
"16351","Gm19692",0,0.83,0,0,0,0,0,0.1,0,-0.23,0.95104,NA
"16352","Gm19694",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16353","Gm19696",1.59,0,1.05,0.79,0,0,0,0.5,-0.01,-1.95,0.49482,NA
"16354","Gm19705",21.45,12.47,7.32,3.96,5.61,2.67,4.68,8.3,-0.05,-1.38,0.09166,NA
"16355","Gm19708",0.79,1.66,3.14,0.79,0,0,0,0.9,-0.02,-2.83,0.18124,NA
"16356","Gm19709",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16357","Gm19710",3.18,2.49,3.14,1.58,3.37,1.33,7.02,3.2,0.01,0.61,0.55432,NA
"16358","Gm19716",0.79,1.66,0,0,2.25,2.67,0,1.1,0.01,1.38,0.49498,NA
"16359","Gm19719",15.89,6.65,9.41,14.26,7.86,16,8.19,11.2,-0.01,-0.13,0.82618,0.96546
"16360","Gm1972",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16361","Gm19721",0.79,0,0,1.58,1.12,6.67,0,1.5,0.02,2.06,0.28762,NA
"16362","Gm19724",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16363","Gm19726",0,4.99,1.05,5.55,3.37,2.67,3.51,3,0,0.13,0.9182,NA
"16364","Gm19739",1.59,4.99,2.09,0,6.74,1.33,7.02,3.4,0.02,1.23,0.29969,NA
"16365","Gm19744",69.92,51.54,17.78,15.05,38.17,29.34,26.91,35.5,-0.01,-0.3,0.58641,0.89824
"16366","Gm19755",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16367","Gm19757",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16368","Gm1976",753.28,711.63,652.48,602.06,690.38,649.46,862.24,703.1,0.02,0.11,0.44757,0.8392
"16369","Gm19761",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16370","Gm19764",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16371","Gm19771",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16372","Gm19774",0,1.66,0,0.79,1.12,1.33,1.17,0.9,0.01,0.95,0.62913,NA
"16373","Gm19777",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16374","Gm19782",0,0,0,0,0,0,0,0,0,NA,NA,NA
"16375","Gm19784",0,0,0,0.79,0,0,0,0.1,0,-0.23,0.95104,NA
"16376","Gm19786",0,0,1.05,0,0,0,0,0.1,0,-0.23,0.95104,NA
"16377","Gm1979",0,0.83,0,0,0,0,0,0.1,0,-0.23,0.95104,NA
